Date,Source,Time,Titles,gists,link,labels
2020-09-07,Times_Now,10:51:28.292436,['Global COVID-19 cases surpass 27 million death toll climbs to over 8 lakh'],['Global COVID-19 cases surpass 27 million death toll climbs to over 8 lakh'],https://www.timesnownews.com/international/article/global-covid-19-cases-surpass-27-million-death-toll-climbs-to-over-8-lakh/648685,"['27 million', 'over 8']"
2020-09-07,Times_Now,10:51:28.541044,['Oxford COVID-19 vaccine trials in India delayed over safety approvals - Report'],['Oxford COVID-19 vaccine trials in India delayed over safety approvals - Report'],https://www.timesnownews.com/health/article/oxford-covid-19-vaccine-trials-in-india-delayed-over-safety-approvals-report/648722,"['Oxford COVID-19', 'India']"
2020-09-07,Times_Now,10:51:28.991472,"[""NEP 2020: Watch PM Modi's, President's address on New Education Policy at Governors Conference here""]","[""NEP 2020: Watch PM Modi's, President's address on New Education Policy at Governors Conference here""]",https://www.timesnownews.com/education/article/nep-2020-pm-modi-president-vcs-of-universities-to-discuss-new-education-policy-1030-today-details/648689,"['NEP', ""Modi's""]"
2020-09-07,Times_Now,10:51:29.478949,"[""Moon may be rusting, shows ISRO's Chandrayaan 1 images; Chandrayaan 3 likely to launch early in 2021""]","['cientists are puzzled with this new discovery and finding out the reason behind rusting on the moo.', 'handrayaan 3 will include a Lander and\xa0Rover similar to that of Chandrayaan .']",https://www.timesnownews.com/technology-science/article/moon-may-be-rusting-shows-isros-chandrayaan-1-images-chandrayaan-3-likely-to-launch-early-in/648692,"['Moon', 'ISRO', '1', '3']"
2020-09-07,Times_Now,10:51:30.276760,['World no.1 Novak Djokovic apologises after being disqualified from US Open for hitting line judge with ball'],"['ovak Djokovic was disqualified from US Open 2020 on Monday for hitting a line jdge with the bal.', 'ablo Carreno Busta was declared the winner of the Round of 16 match against Djokovi.', 'orld number 1. Djokovic issued an apology later on his Instagra.']",https://www.timesnownews.com/sports/tennis/article/world-no-1-novak-djokovic-apologises-after-being-disqualified-from-us-open-for-hitting-line-judge-with-ball/648640,"['Novak Djokovic', 'US']"
2020-09-07,Times_Now,10:51:30.741887,"['After over 5-month gap, metro services back on track across country amid strict COVID-19 norms']","['he metro services were suspended since Marc.', 'he services have restarted a gap of more than 5 month.', 'ommuters have been advised to follow basic COVID norm.']",https://www.timesnownews.com/india/article/after-hiatus-of-over-five-months-metro-services-resume-today/648649,[]
2020-09-07,Times_Now,10:51:30.979453,"[""‘Mental woman does not have right to live in Maharashtra’: Shiv Sena's fresh salvo at Kangana Ranaut""]","['his will not be tolerated if an outsider, who achieved everything from Mumbai, insults the city, Sena sai.', 'arlier, Shiv Sena leader Sanjay Raut had hit out at Ranaut over her “Mumbai is feeling like PoK” comment.', 'Why Mumbai is feeling like Pakistan occupied Kashmir?"" Ranaut had tweete.']",https://www.timesnownews.com/india/article/mental-woman-does-not-have-right-to-live-in-maharashtra-shiv-senas-fresh-salvo-at-kangana-raut/648673,"['Maharashtra', 'Shiv Sena', 'Kangana Ranaut']"
2020-09-07,Times_Now,10:51:31.404131,"['Big boost to Apple, Samsung, Lava and others as govt okays $100 billion mobile export plans under PLI scheme']","['Big boost to Apple, Samsung, Lava and others as govt okays $100 billion mobile export plans under PLI scheme']",https://www.timesnownews.com/business-economy/companies/article/big-boost-to-apple-samsung-lava-and-others-as-govt-okays-100-billion-mobile-export-plans-under-pli-scheme/648668,"['Apple', 'Samsung']"
2020-09-07,Times_Now,10:51:31.939798,"[""Planning to travel? Here's a complete list of all special trains, timings, reservation details""]","[""Planning to travel? Here's a complete list of all special trains, timings, reservation details""]",https://www.timesnownews.com/business-economy/industry/article/planning-to-travel-heres-a-complete-list-of-310-special-trains-timings-other-details/648530,[]
2020-09-07,Times_Now,10:51:32.434058,"['In the wake of lockdown, India singed by rising incidence of industrial accidents - These graphs show how']","['etween the months of January and August alone, there have been, at least, 25 serious industrial accidents that have claimed the lives of over 120 peopl.', 'By some estimates, there were over 8000  workplace accidents that claimed the lives of more than 6,300 workers between 2014 and 201.', 'he issue becomes even more pertinent particularly within the context of the new draft Environment Impact Assessment 2020 that environmentalists and activists have harshly criticise.']",https://www.timesnownews.com/india/article/in-the-wake-of-lockdown-india-singed-by-rising-incidence-of-industrial-accidents-these-graphs-show-how/648679,['India']
2020-09-07,Times_Now,10:51:33.168998,"[""Sanjay Raut must apologise for 'defaming' Gujarat by calling Ahmedabad 'mini Pakistan': BJP""]","['anaut had said that Mumbai feels like Po.', ""n response, Shiv Sena said that an 'outsider's' remarks will 'not be tolerated.""]",https://www.timesnownews.com/india/article/sanjay-raut-must-apologise-for-defaming-gujarat-by-calling-ahmedabad-mini-pakistan-bjp/648707,"['Sanjay Raut', 'Ahmedabad', 'Pakistan']"
2020-09-07,Times_Now,10:51:35.026239,['Sushant Singh case: Second round of NCB interrogation for Rhea Chakraborty today'],"['hea has been asked to appear before the NCB by 10 a.', 'hea\'s lawyer had yesterday said that his client was ready for ""arrest"" as it is a ""witch-hunt.', 'hea was summoned a day after her brother Showik Chakraborty was sent to NCB custod.']",https://www.timesnownews.com/india/article/sushant-singh-case-second-round-of-ncb-interrogation-for-rhea-chakraborty-today/648702,"['Sushant Singh', 'NCB', 'Rhea Chakraborty']"
