Date,Source,Time,Titles,gists,link,labels
2020-09-06,Times_Now,19:16:55.746127,['Security tightened at Uddhav Thackeray’s residence as Maharashtra CM gets calls ‘on behalf of Dawood Ibrahim’'],"['he caller had told the receptionist to connect him to the CM as Dawood wants to speak to him directly..', 'wo calls were received and the receptionist disconnected both calls without forwarding it to anyone,"" a senior police official said.', 'e further said that there were no specific threats given by the caller.']",https://www.timesnownews.com/india/article/security-tightened-at-uddhav-thackeray-s-residence-as-maharashtra-cm-gets-calls-on-behalf-of-dawood-ibrahim/648539,"['Uddhav Thackeray’s', 'Maharashtra CM', 'Dawood Ibrahim']"
2020-09-06,Times_Now,19:16:56.123117,"['Rajnath Singh meets Iran’s defence minister, discusses bilateral ties, regional security']","['Rajnath Singh meets Iran’s defence minister, discusses bilateral ties, regional security']",https://www.timesnownews.com/india/article/rajnath-singh-meets-iran-s-defence-minister-discusses-bilateral-ties-regional-security/648477,"['Rajnath Singh', 'Iran']"
2020-09-06,Times_Now,19:16:56.308530,"['Sushant Singh Rajput case: Late actor’s house help Dipesh an active member of drug syndicate, says NCB']","['ipesh Sawant, the house help of late actor Sushant Singh Rajput, has been sent to NCB custody till September .', 'ipesh is an active member of drug syndicate connected with high society personalities and drug suppliers, says NC.']",https://www.timesnownews.com/india/article/sushant-singh-rajput-case-late-actor-s-house-help-dipesh-an-active-member-of-drug-syndicate-says-ncb/648528,"['Sushant Singh Rajput', 'Dipesh', 'NCB']"
2020-09-06,Times_Now,19:16:56.662896,['‘Only one problem left in the country’: Manish Sisodia’s jibe at Centre over media coverage of Sushant case'],['‘Only one problem left in the country’: Manish Sisodia’s jibe at Centre over media coverage of Sushant case'],https://www.timesnownews.com/india/article/only-one-problem-left-in-the-country-manish-sisodia-s-jibe-at-centre-over-media-coverage-of-sushant-case/648445,"['one', 'Manish Sisodia’s', 'Centre', 'Sushant']"
2020-09-06,Times_Now,19:16:56.848738,"[""Rhea Chakraborty admits to Narcotics Control Bureau she was procuring drugs 'but never consumed them'""]","[""Rhea Chakraborty admits to Narcotics Control Bureau she was procuring drugs 'but never consumed them'""]",https://www.timesnownews.com/india/article/rhea-chakraborty-admits-to-narcotics-control-bureau-she-was-procuring-drugs-but-never-consumed-them/648553,"['Rhea Chakraborty', 'Narcotics Control Bureau']"
2020-09-06,Times_Now,19:16:56.992058,"[""All flight tickets booked between March 25 and May 3 will be 'fully refunded': DGCA to SC""]","[""All flight tickets booked between March 25 and May 3 will be 'fully refunded': DGCA to SC""]",https://www.timesnownews.com/business-economy/industry/article/all-flight-tickets-booked-between-march-25-and-may-3-will-be-fully-refunded-dgca-to-sc/648551,[]
2020-09-06,Times_Now,19:16:57.169701,"[""Foreign intelligence agencies conducting 'digital reconnaissance' to steal COVID-19 vaccine data""]","['hina not the only country fishing for COVID-19 vaccine dat.', 'ussia and Iran also involved.', 'K accused Russian state-sponsored hackers of targeting UK, US and Canadian organisations involved in vaccine researc.']",https://www.timesnownews.com/international/article/foreign-intelligence-agencies-conducting-digital-reconnaissance-to-steal-covid-19-vaccine-data/648429,['COVID-19']
2020-09-06,Times_Now,19:16:57.356196,"['4-year-old learns how to surf, rides the waves on his own surfboard completely unaided [WATCH]']","['4-year-old learns how to surf, rides the waves on his own surfboard completely unaided [WATCH]']",https://www.timesnownews.com/the-buzz/article/4-year-old-learns-how-to-surf-rides-the-waves-on-his-own-surfboard-completely-unaided-watch/648533,[]
2020-09-06,Times_Now,19:16:57.717029,"[""'See u soon' - Chennai Super Kings to Mumbai Indians as BCCI announces IPL 2020 schedule""]","['umbai Indians will take on Chennai Super Kings in the opening game of the seaso.', 'SK took to Twitter to send a message to Mumbai following the announcement.', 'I had defeated CSK in the final of IPL 201.']",https://www.timesnownews.com/sports/cricket/article/see-u-soon-chennai-super-kings-to-mumbai-indians-as-bcci-announces-ipl-2020-schedule/648545,"['Mumbai', 'BCCI', 'IPL', '2020']"
2020-09-06,Times_Now,19:16:57.865572,['India-China standoff: IAF jets carry out sorties every few hours as surveillance over PLA camps increases'],"['ndia has taken strategic locations in southern and northern parts of Pangong Tso area along the LAC.', 'ndian Air Force is carrying out sorties every few hours giving backup to the Indian personnel at the frontline standing against the Chinese soldiers.', 'alks are ongoing in Chushul every day at the General as well as the Brigadier level.']",https://www.timesnownews.com/india/article/india-china-standoff-iaf-fighter-jets-carry-sorties-every-few-hours-as-surveillance-over-pla-camps-increases/648519,"['India', 'China', 'PLA']"
2020-09-06,Times_Now,19:16:58.218069,['Pakistan reaches out to China for more fighters and missiles '],['Pakistan reaches out to China for more fighters and missiles '],https://www.timesnownews.com/international/article/pakistan-reaches-out-to-china-for-more-fighters-and-missiles/648512,"['Pakistan', 'China']"
2020-09-06,Times_Now,19:16:58.560248,['England fined for slow over-rate in first T20I against Australia'],['England fined for slow over-rate in first T20I against Australia'],https://www.timesnownews.com/sports/cricket/article/england-fined-for-slow-over-rate-in-first-t20i-against-australia/648546,"['England', 'T20I', 'Australia']"
2020-09-06,Times_Now,19:16:58.704406,['India-China standoff: IAF jets carry out sorties every few hours as surveillance over PLA camps increases'],"['ndia has taken strategic locations in southern and northern parts of Pangong Tso area along the LAC.', 'ndian Air Force is carrying out sorties every few hours giving backup to the Indian personnel at the frontline standing against the Chinese soldiers.', 'alks are ongoing in Chushul every day at the General as well as the Brigadier level.']",https://www.timesnownews.com/india/article/india-china-standoff-iaf-fighter-jets-carry-sorties-every-few-hours-as-surveillance-over-pla-camps-increases/648519,"['India', 'China', 'PLA']"
2020-09-06,Times_Now,19:16:59.136342,"['IPL 2020 schedule announced, CSK to take on defending champions MI in opener on September 19']","['umbai Indians will take on Chennai Super Kings in the opening game of the seaso.', 'he match will be played on September 19 in Abu Dhab.', 'he final of the tournament will be played on November 1.']",https://www.timesnownews.com/sports/cricket/article/ipl-2020-schedule-announced-csk-to-take-on-defending-champions-mi-in-opener-on-september/648495,"['IPL', '2020', 'CSK', 'MI']"
2020-09-06,Times_Now,19:16:59.469715,"[""Several people stabbed in UK’s Birmingham; 'major incident', says British police ""]","[""Several people stabbed in UK’s Birmingham; 'major incident', says British police ""]",https://www.timesnownews.com/international/article/several-people-stabbed-in-uk-s-birmingham-major-incident-says-british-police/648366,"['UK', 'British']"
2020-09-06,Times_Now,19:16:59.615218,['Train for 2: Kalka-Shimla heritage train plys with two passengers- candidates appearing for UPSC NDA exam'],['Train for 2: Kalka-Shimla heritage train plys with two passengers- candidates appearing for UPSC NDA exam'],https://www.timesnownews.com/education/article/train-for-2-kalka-shimla-heritage-train-plys-with-two-passengers-candidates-appearing-for-upsc-nda-exam/648505,"['2', 'Kalka', 'Shimla', 'two', 'UPSC NDA']"
2020-09-06,Times_Now,19:16:59.840592,"['For first time, India sees over 90,000 COVID-19 cases in a day; tally crosses 41 lakh-mark']","['f the total cases, 31,80,865\xa0have been successfully treate.', 'he death toll has increased to 70,626 in the countr.', 'ndia surpasses Brazil to become second worst-hit countr.']",https://www.timesnownews.com/india/article/for-first-time-india-sees-over-90000-covid-19-cases-in-a-day-tally-crosses-41-lakh-mark/648339,"['India', '90,000', 'COVID-19', '41']"
2020-09-06,Times_Now,19:17:00.232821,"['Odisha: 13-year-old girl gang-raped by 8 people including cop, media persons']","['he complainant claimed that the accused sexually assaulted her teenage daughter in March and Apri.', 'hey also threatened her with dire consequences if she revealed the matter to anyon.', 'olice have commissioned a special team for investigating the cas.']",https://www.timesnownews.com/mirror-now/crime/article/odisha-13-year-old-girl-gang-raped-by-8-people-including-cop-media-persons/648544,['8']
